[2026-08-05 11:38:19] [INFO] =============================================
[2026-08-05 11:38:19] [INFO] DWP Temp File Cleanup - RunId: 20260805_113819
[2026-08-05 11:38:19] [INFO] Mode: DRY RUN
[2026-08-05 11:38:19] [INFO] =============================================
[2026-08-05 11:38:19] [INFO] Target paths: C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-CheckSumValid.ps1 (23.9 KB, LastWriteTime: 05/10/2023 10:53:30)
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyPath.ps1 (15.3 KB, LastWriteTime: 05/10/2023 10:53:30)
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyUnzip.ps1 (23.4 KB, LastWriteTime: 05/10/2023 10:53:30)
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyWebFile.ps1 (28.8 KB, LastWriteTime: 05/10/2023 10:53:30)
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariable.ps1 (16.7 KB, LastWriteTime: 05/10/2023 10:53:30)
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariableNames.ps1 (14.7 KB, LastWriteTime: 05/10/2023 10:53:30)
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-FtpFile.ps1 (20.4 KB, LastWriteTime: 05/10/2023 10:53:30)
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-OSArchitectureWidth.ps1 (15.5 KB, LastWriteTime: 05/10/2023 10:53:30)
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-PackageParameters.ps1 (19.7 KB, LastWriteTime: 05/10/2023 10:53:30)
[2026-08-05 11:38:20] [INFO] [DRY RUN] Would delete: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ToolsLocation.ps1 (16.3 KB, LastWriteTime: 05/10/2023 10:53:30)
